id,title,salary,job_score,company,location,job_requirements,about_us,company_video,company_logo
1,Software Engineer,"$160,000",4.6,Google,"Manassas, VA","['Bachelor’s degree in Computer Science or a related field', 'Proficiency in at least one programming language (e.g., Python, Java, C++)', 'Experience with software development and debugging', 'Strong problem-solving and analytical skills', 'Familiarity with cloud computing technologies', 'Ability to work collaboratively in a team environment', 'Excellent communication skills']","Google is a global leader in technology, known for its innovation, collaboration, and commitment to excellence. With a culture that fosters creativity and problem-solving, Google empowers employees to push boundaries in AI, cloud computing, and beyond. Dedicated to making information accessible and useful, Google drives advancements that impact billions worldwide. It prioritizes diversity, sustainability, and ethical AI while offering a dynamic environment for career growth. At Google, bold ideas shape the future of technology.",https://www.youtube.com/watch?v=tdjMc4CLYY4&ab_channel=Google,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
2,Software Developer,"$161,000",4.0,Microsoft,Remote,"['Associate’s or Bachelor’s degree in IT or related field', 'Experience in troubleshooting software and hardware issues', 'Strong analytical and problem-solving skills', 'Familiarity with ticketing systems and IT support tools', 'Ability to communicate technical concepts to non-technical users', 'Basic knowledge of networking principles', 'Customer service experience is a plus']","Microsoft is at the forefront of digital transformation, offering cutting-edge solutions in cloud computing, artificial intelligence, and enterprise software. With a strong emphasis on innovation, diversity, and collaboration, Microsoft provides an inclusive work environment where employees thrive. The company is dedicated to empowering individuals and businesses worldwide through technology that enhances productivity and creativity. At Microsoft, employees contribute to groundbreaking advancements that shape the future of computing.",https://www.youtube.com/watch?v=w3XqUJGxO60&ab_channel=Microsoft,https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg
3,Backend Engineer,"$95,000.00",3.9,Amazon,"Cary, NC","['Bachelor’s degree in Computer Science, Software Engineering, or a related field', 'Proficiency in C# and .NET framework', 'Experience with database management (SQL Server, MySQL)', 'Understanding of object-oriented programming principles', 'Experience in developing enterprise-level applications', 'Ability to work independently and as part of a team', 'Strong debugging and troubleshooting skills']","Amazon is a global leader in e-commerce, cloud computing, and artificial intelligence, pioneering innovations that enhance customer experiences. With a customer-centric philosophy, Amazon fosters a dynamic and fast-paced environment where employees work on cutting-edge solutions. From AWS to Alexa, Amazon continues to shape the digital world, driving advancements in AI, logistics, and sustainability. Employees at Amazon are encouraged to think big and innovate fearlessly.",https://www.youtube.com/watch?v=WS6Ien9YUiI&ab_channel=amazon,https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg
4,Frontend Engineer,"$192,000",4.7,Apple,"Los Angeles, CA","['Bachelor’s degree in Software Engineering or a related field', 'Experience with full-stack development (React, Node.js, MongoDB)', 'Understanding of RESTful APIs and microservices architecture', 'Proficiency in JavaScript, TypeScript, or similar languages', 'Familiarity with agile development methodologies', 'Experience with version control systems (Git, GitHub)', 'Ability to work in a fast-paced environment']","Apple is a trailblazer in technology and design, creating revolutionary products that transform the way people live and work. With a focus on innovation, privacy, and user experience, Apple develops groundbreaking hardware and software solutions. The company values creativity, collaboration, and excellence, offering employees opportunities to work on projects that impact millions worldwide. At Apple, every detail matters, and every product is designed to enrich lives.",https://www.youtube.com/watch?v=BPqir3EZolw&ab_channel=Apple,https://upload.wikimedia.org/wikipedia/commons/f/fa/Apple_logo_black.svg
5,Full Stack Developer,"$85,000.00",3.1,Meta,"Seguin, TX","['Bachelor’s or Master’s degree in Artificial Intelligence, Machine Learning, or Computer Science', 'Experience with TensorFlow, PyTorch, or other ML frameworks', 'Strong knowledge of data preprocessing and feature engineering', 'Ability to design and train deep learning models', 'Experience in deploying AI models to production', 'Understanding of cloud-based AI solutions', 'Excellent mathematical and statistical skills']","Meta is leading the charge in social connectivity and the metaverse, shaping the future of communication. With a commitment to innovation, privacy, and digital inclusivity, Meta empowers employees to build next-generation experiences. From virtual reality to AI-driven social media solutions, Meta fosters a collaborative and dynamic environment. Employees at Meta contribute to products that bring people closer together and redefine digital interactions.",https://www.youtube.com/watch?v=pjNI9K1D_xo&ab_channel=Meta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Meta-Logo.png/1200px-Meta-Logo.png
6,Systems Engineer,"$130,000",3.9,Netflix,"New York, NY","['Bachelor’s degree in Computer Science or a related field', 'Proficiency in at least one programming language (e.g., Python, Java, C++)', 'Experience with software development and debugging', 'Strong problem-solving and analytical skills', 'Familiarity with cloud computing technologies', 'Ability to work collaboratively in a team environment', 'Excellent communication skills']","Netflix is a global entertainment company revolutionizing the way people enjoy content. With a focus on innovation in streaming technology and original programming, Netflix fosters a culture of creativity and experimentation. Employees work on groundbreaking AI-driven recommendation systems, cloud infrastructure, and award-winning productions. At Netflix, freedom and responsibility drive excellence in a fast-paced, collaborative environment.",https://www.youtube.com/watch?v=pMZPTnWpaWk&ab_channel=Netflix,https://upload.wikimedia.org/wikipedia/commons/7/75/Netflix_icon.svg
7,Product Engineer,"$7,700,000.00",3.3,Tesla,"Alpharetta, GA","['Associate’s or Bachelor’s degree in IT or related field', 'Experience in troubleshooting software and hardware issues', 'Strong analytical and problem-solving skills', 'Familiarity with ticketing systems and IT support tools', 'Ability to communicate technical concepts to non-technical users', 'Basic knowledge of networking principles', 'Customer service experience is a plus']","Tesla is redefining the future of transportation and energy with electric vehicles, renewable energy solutions, and autonomous driving technology. The company thrives on innovation, sustainability, and disruptive thinking, pushing boundaries in AI, robotics, and clean energy. At Tesla, employees contribute to pioneering advancements that accelerate the world's transition to sustainable energy.",https://www.youtube.com/watch?v=azUbCdcAeFM&ab_channel=Tesla,https://upload.wikimedia.org/wikipedia/commons/b/bd/Tesla_Motors.svg
8,ML Engineer II,"$17,000,000",4.2,IBM,"Farmington Hills, MI","['Bachelor’s degree in Computer Science, Software Engineering, or a related field', 'Proficiency in C# and .NET framework', 'Experience with database management (SQL Server, MySQL)', 'Understanding of object-oriented programming principles', 'Experience in developing enterprise-level applications', 'Ability to work independently and as part of a team', 'Strong debugging and troubleshooting skills']","IBM is a global leader in AI, cloud computing, and enterprise solutions, driving technological advancements for businesses worldwide. With a legacy of innovation spanning decades, IBM empowers employees to shape the future of computing, blockchain, and quantum computing. The company values collaboration, research, and diversity, creating an environment where bold ideas become reality.",https://www.youtube.com/watch?v=No7VxEoyab8&ab_channel=IBM,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
9,Data Engineer,"$94,000.00",3.3,Tesla,"Boston, MA","['Bachelor’s degree in Software Engineering or a related field', 'Experience with full-stack development (React, Node.js, MongoDB)', 'Understanding of RESTful APIs and microservices architecture', 'Proficiency in JavaScript, TypeScript, or similar languages', 'Familiarity with agile development methodologies', 'Experience with version control systems (Git, GitHub)', 'Ability to work in a fast-paced environment']","Intel is a pioneer in semiconductor technology, powering the world's computing and data infrastructure. With a strong commitment to research and development, Intel advances AI, cloud computing, and next-generation chip designs. The company fosters a culture of innovation, providing employees with opportunities to shape the future of computing and connectivity.",https://www.youtube.com/watch?v=azUbCdcAeFM&ab_channel=Tesla,https://upload.wikimedia.org/wikipedia/commons/b/bd/Tesla_Motors.svg
10,AI Engineer II,"$100,000",4.2,Oracle,Remote,"['Bachelor’s or Master’s degree in Artificial Intelligence, Machine Learning, or Computer Science', 'Experience with TensorFlow, PyTorch, or other ML frameworks', 'Strong knowledge of data preprocessing and feature engineering', 'Ability to design and train deep learning models', 'Experience in deploying AI models to production', 'Understanding of cloud-based AI solutions', 'Excellent mathematical and statistical skills']","Oracle is a global leader in database technology, cloud computing, and enterprise software solutions. With a commitment to innovation and security, Oracle enables businesses to scale and optimize operations with cutting-edge technology. Employees at Oracle contribute to industry-leading advancements in data management, AI, and cloud services, making an impact on businesses worldwide.",https://www.youtube.com/watch?v=H0Y0oTHXvu0&ab_channel=Oracle,https://upload.wikimedia.org/wikipedia/commons/5/50/Oracle_logo.svg
